frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle,,,,7,
1,257.5693769,106.8055363,1646.229265,4.694278648,0.069197647,26.69354843,4492,,1,49,,,,,
2,510.0755532,264.3812736,1357.804923,4.964199952,0.131604088,21.61643023,3683,,2,8,,,,,
2,486.936766,44.68202349,1013.95713,5.553940145,0.08559862,20.88366988,3267,,2,7,,,,,
2,476.02892,127.4769737,1336.554873,4.992826543,0.047673318,20.33409962,3512,,2,4,,,,,
2,444.28061,174.7949165,1261.263747,5.062341922,0.168056212,23.08195092,3488,,2,3,,,,,
2,394.1617965,147.4848485,1015.605841,5.367433599,0.119391372,17.21986815,3150,,2,28,,,,,
2,515.6613803,68.35378181,1051.144717,4.343177725,0.082108846,21.61643023,3262,,2,9,,,,,
2,577.3738176,179.1376425,3021.17091,7.784653927,0.441456635,24.54747162,7227,,2,29,,,,,
2,586.9812825,51.06343154,1057.0068,6.362939708,0.150596823,16.12072763,3325,,2,14,,,,,
2,612.7430545,136.9277978,1167.104042,6.356057452,0.098450299,16.4871078,3101,,2,15,,,,,
2,612.8325336,215.2039347,1145.304422,4.704172472,0.135248058,21.25005006,3360,,2,27,,,,,
2,733.2746226,137.9903666,1274.087053,4.566231191,0.10463068,23.4483311,3691,,2,25,,,,,
2,738.832502,47.70850249,1579.281737,8.663709012,0.78292111,18.31900867,4283,,2,26,,,,,
2,546.081302,113.4924616,1300.100045,4.098701238,0.052049283,23.99790136,3474,,2,11,,,,,
2,337.808002,234.6705294,1501.792331,5.392329177,0.171620847,17.21986815,3805,,2,57,,,,,
2,56.62657295,88.49042059,1615.919755,5.875363453,0.108906887,21.79962032,4266,,2,45,,,,,
2,103.0160975,235.2677935,1593.204184,4.983899569,0.210999626,18.86857893,3782,,2,35,,,,,
2,162.0387425,224.3385202,1730.596749,6.655473826,0.112483662,18.31900867,4085,,2,38,,,,,
2,207.7231156,264.019263,1093.644818,4.962404723,0.113705618,16.12072763,3290,,2,42,,,,,
2,336.8852121,161.2952671,1865.607843,8.3753041,0.663384641,23.08195092,4719,,2,56,,,,,
2,306.2168596,140.2677247,1408.182196,4.653311808,0.111816478,23.08195092,3914,,2,54,,,,,
